sequence,rx_monotonic_ns,receive_interval_ms,latency_ms,operator_powered,operator_enabled,operator_dragging,tracking_powered,mapper_armed,operator_j1,operator_j2,operator_j3,operator_j4,operator_j5,operator_j6,tracking_j1,tracking_j2,tracking_j3,tracking_j4,tracking_j5,tracking_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
1275,22654422434505,8.603190,0.032793,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1276,22654429697280,7.262775,0.030082,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1277,22654437756247,8.058967,0.031617,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1278,22654445628492,7.872245,0.039686,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1279,22654453569815,7.941323,0.025216,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1280,22654461573948,8.004133,0.024985,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1281,22654469738707,8.164759,0.032021,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1282,22654477608178,7.869471,0.019610,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1283,22654485532718,7.924540,0.016707,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1284,22654493677179,8.144461,0.027476,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1285,22654501722054,8.044875,0.024435,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
